
TestCase 	2020.10.06 19:59:44:	 xmlGetAPI.RestAPITestCases
TestCase 	2020.10.06 20:09:41:	 xmlGetAPI.RestAPITestCases

STEP 1	2020.10.06 20:09:41:	Sending GET query
INFO	2020.10.06 20:09:41  xmlGetAPI.RestAPITestCases:	Sending query
INFO	2020.10.06 20:09:43  xmlGetAPI.RestAPITestCases:	Checking response status code
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Initialisation of booksList
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Set books' id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Filling out the booksInfoList
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Initialisation of books massive
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that object doesn't contain "catalog" and "version" tag
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.06 20:09:43  xmlGetAPI.RestAPITestCases:	Checking that books list is sorted
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Create sortedBooksId list from the original books' id list
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Sort sortedBooksId list
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that original books' id list is equal to the sorted list

STEP 2	2020.10.06 20:09:43:	Searching for books with max and min prices
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Initialisation of maxPrice, minPrice, maxPriceBook and minPriceBook variables
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:09:43  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min

TestCase 	2020.10.11 15:48:36:	 xmlGetAPI.RestAPITestCases

STEP 1	2020.10.11 15:48:36:	Sending GET query
INFO	2020.10.11 15:48:36  xmlGetAPI.RestAPITestCases:	Sending query
INFO	2020.10.11 15:48:41  xmlGetAPI.RestAPITestCases:	Checking response status code
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Initialisation of booksList
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Set books' id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Filling out the booksInfoList
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Initialisation of books massive
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Checking that object doesn't contain "catalog" and "version" tag
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Writing book information
INFO	2020.10.11 15:48:41  xmlGetAPI.RestAPITestCases:	Checking that books list is sorted
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Create sortedBooksId list from the original books' id list
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Sort sortedBooksId list
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Checking that original books' id list is equal to the sorted list

STEP 2	2020.10.11 15:48:41:	Searching for books with max and min prices
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Initialisation of maxPrice, minPrice, maxPriceBook and minPriceBook variables
INFO	2020.10.11 15:48:41  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
